status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,alignment_text_fingerprint,high,,0,0,,agZ8N54BFOP5uam19nVP,Y,,af8e1ac153c24bbd,af8e1ac153c24bbd,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,1,1,,awZ8N54BFOP5uam19nVP,Y,,d9009439ff03214c,d9009439ff03214c,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,2,2,,bAZ8N54BFOP5uam19nVP,Y,,577c8e2ad07e5f86,577c8e2ad07e5f86,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,3,3,,bQZ8N54BFOP5uam19nVP,Y,,aea1aa47987b6fda,aea1aa47987b6fda,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,4,4,,bgZ8N54BFOP5uam19nVP,Y,,1ada171ca12369b1,1ada171ca12369b1,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,5,5,,bwZ8N54BFOP5uam19nVP,Y,,ceff37513c708793,ceff37513c708793,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,6,6,,cAZ8N54BFOP5uam19nVP,Y,,63e4eb05e078bc7b,63e4eb05e078bc7b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,7,7,,cQZ8N54BFOP5uam19nVP,Y,,feaaa58866fa9a2e,feaaa58866fa9a2e,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,8,8,,cgZ8N54BFOP5uam19nVP,Y,,597504101cfc5cdb,597504101cfc5cdb,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,9,9,,cwZ8N54BFOP5uam19nVP,Y,,abbae577877e344f,abbae577877e344f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
